ref_date,geo,fuel_type,vehicle_type,number_of_vehicles,year,month
2017-01-01,QUE,All zero-emission vehicles,Passenger cars,1029,2017,1
2017-01-01,QUE,All zero-emission vehicles,Pickup trucks,0,2017,1
2017-01-01,QUE,All zero-emission vehicles,Multi-purpose vehicles,214,2017,1
2017-01-01,QUE,All zero-emission vehicles,Vans,4,2017,1
2017-01-01,QUE,Electric,"Total, vehicle type",602,2017,1
2017-01-01,QUE,Electric,Passenger cars,443,2017,1
2017-01-01,QUE,Electric,Pickup trucks,0,2017,1
2017-01-01,QUE,Electric,Multi-purpose vehicles,159,2017,1
2017-01-01,QUE,Electric,Vans,0,2017,1
2017-01-01,QUE,Hybrid Electric,"Total, vehicle type",645,2017,1
2017-01-01,QUE,Hybrid Electric,Passenger cars,586,2017,1
2017-01-01,QUE,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,QUE,Hybrid Electric,Multi-purpose vehicles,55,2017,1
2017-01-01,QUE,Hybrid Electric,Vans,4,2017,1
2017-01-01,QUE,Hybrid Electric,"Total, vehicle type",953,2017,1
2017-01-01,QUE,Hybrid Electric,Passenger cars,544,2017,1
2017-01-01,QUE,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,QUE,Hybrid Electric,Multi-purpose vehicles,409,2017,1
2017-01-01,QUE,Hybrid Electric,Vans,0,2017,1
2017-01-01,QUE,Other,"Total, vehicle type",0,2017,1
2017-01-01,QUE,Other,Passenger cars,0,2017,1
2017-01-01,QUE,Other,Pickup trucks,0,2017,1
2017-01-01,QUE,Other,Multi-purpose vehicles,0,2017,1
2017-01-01,QUE,Other,Vans,0,2017,1
2017-01-01,ON,All fuel types,"Total, vehicle type",168231,2017,1
2017-01-01,ON,All fuel types,Passenger cars,53466,2017,1
2017-01-01,ON,All fuel types,Pickup trucks,31137,2017,1
2017-01-01,ON,All fuel types,Multi-purpose vehicles,70807,2017,1
2017-01-01,ON,All fuel types,Vans,12821,2017,1
2017-01-01,ON,Gas,"Total, vehicle type",161414,2017,1
2017-01-01,ON,Gas,Passenger cars,51383,2017,1
2017-01-01,ON,Gas,Pickup trucks,28548,2017,1
2017-01-01,ON,Gas,Multi-purpose vehicles,69369,2017,1
2017-01-01,ON,Gas,Vans,12114,2017,1
2017-01-01,ON,Diesel,"Total, vehicle type",3865,2017,1
2017-01-01,ON,Diesel,Passenger cars,124,2017,1
2017-01-01,ON,Diesel,Pickup trucks,2589,2017,1
2017-01-01,ON,Diesel,Multi-purpose vehicles,454,2017,1
2017-01-01,ON,Diesel,Vans,698,2017,1
2017-01-01,ON,All zero-emission vehicles,"Total, vehicle type",1319,2017,1
2017-01-01,ON,All zero-emission vehicles,Passenger cars,1041,2017,1
2017-01-01,ON,All zero-emission vehicles,Pickup trucks,0,2017,1
2017-01-01,ON,All zero-emission vehicles,Multi-purpose vehicles,269,2017,1
2017-01-01,ON,All zero-emission vehicles,Vans,9,2017,1
2017-01-01,ON,Electric,"Total, vehicle type",595,2017,1
2017-01-01,ON,Electric,Passenger cars,414,2017,1
2017-01-01,ON,Electric,Pickup trucks,0,2017,1
2017-01-01,ON,Electric,Multi-purpose vehicles,181,2017,1
2017-01-01,ON,Electric,Vans,0,2017,1
2017-01-01,ON,Hybrid Electric,"Total, vehicle type",724,2017,1
2017-01-01,ON,Hybrid Electric,Passenger cars,627,2017,1
2017-01-01,ON,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,ON,Hybrid Electric,Multi-purpose vehicles,88,2017,1
2017-01-01,ON,Hybrid Electric,Vans,9,2017,1
2017-01-01,ON,Hybrid Electric,"Total, vehicle type",1633,2017,1
2017-01-01,ON,Hybrid Electric,Passenger cars,918,2017,1
2017-01-01,ON,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,ON,Hybrid Electric,Multi-purpose vehicles,715,2017,1
2017-01-01,ON,Hybrid Electric,Vans,0,2017,1
2017-01-01,ON,Other,"Total, vehicle type",0,2017,1
2017-01-01,ON,Other,Passenger cars,0,2017,1
2017-01-01,ON,Other,Pickup trucks,0,2017,1
2017-01-01,ON,Other,Multi-purpose vehicles,0,2017,1
2017-01-01,ON,Other,Vans,0,2017,1
2017-01-01,MB,All fuel types,"Total, vehicle type",12642,2017,1
2017-01-01,MB,All fuel types,Passenger cars,2934,2017,1
2017-01-01,MB,All fuel types,Pickup trucks,3426,2017,1
2017-01-01,MB,All fuel types,Multi-purpose vehicles,5493,2017,1
