GEO,SEX,AGE_GROUP,VALUE,YEAR
Canada,Males,0 to 14 years,3106212,2022
Canada,Males,0 to 15 years,3319075,2022
Canada,Males,0 to 16 years,3528607,2022
Canada,Males,0 to 17 years,3738222,2022
Canada,Males,15 to 49 years,9056241,2022
Canada,Males,15 to 64 years,12866756,2022
Canada,Males,16 to 64 years,12653893,2022
Canada,Males,17 to 64 years,12444361,2022
Canada,Males,18 years and over,15619482,2022
Canada,Males,18 to 64 years,12234746,2022
Canada,Males,18 to 24 years,1763783,2022
Canada,Males,25 to 44 years,5470142,2022
Canada,Males,45 to 64 years,5000821,2022
Canada,Males,65 years and over,3384736,2022
Canada,Males,90 years and over,113723,2022
Canada,Females,All ages,19572198,2022
Canada,Females,0 to 4 years,916403,2022
Canada,Females,0 years,179466,2022
Canada,Females,1 year,176905,2022
Canada,Females,2 years,183079,2022
Canada,Females,3 years,186340,2022
Canada,Females,4 years,190613,2022
Canada,Females,5 to 9 years,1005880,2022
Canada,Females,5 years,194995,2022
Canada,Females,6 years,200042,2022
Canada,Females,7 years,202020,2022
Canada,Females,8 years,203922,2022
Canada,Females,9 years,204901,2022
Canada,Females,10 to 14 years,1042081,2022
Canada,Females,10 years,206365,2022
Canada,Females,11 years,205547,2022
Canada,Females,12 years,209718,2022
Canada,Females,13 years,209982,2022
Canada,Females,14 years,210469,2022
Canada,Females,15 to 19 years,1042279,2022
Canada,Females,15 years,205902,2022
Canada,Females,16 years,203195,2022
Canada,Females,17 years,202392,2022
Canada,Females,18 years,210074,2022
Canada,Females,19 years,220716,2022
Canada,Females,20 to 24 years,1207178,2022
Canada,Females,20 years,230546,2022
Canada,Females,21 years,238591,2022
Canada,Females,22 years,246098,2022
Canada,Females,23 years,244126,2022
Canada,Females,24 years,247817,2022
Canada,Females,25 to 29 years,1299746,2022
Canada,Females,25 years,250323,2022
Canada,Females,26 years,258542,2022
Canada,Females,27 years,261426,2022
Canada,Females,28 years,262645,2022
Canada,Females,29 years,266810,2022
Canada,Females,30 to 34 years,1365551,2022
Canada,Females,30 years,271849,2022
Canada,Females,31 years,276534,2022
Canada,Females,32 years,278739,2022
Canada,Females,33 years,271268,2022
Canada,Females,34 years,267161,2022
Canada,Females,35 to 39 years,1348668,2022
Canada,Females,35 years,267614,2022
Canada,Females,36 years,271260,2022
Canada,Females,37 years,271278,2022
Canada,Females,38 years,270049,2022
Canada,Females,39 years,268467,2022
Canada,Females,40 to 44 years,1295011,2022
Canada,Females,40 years,266390,2022
Canada,Females,41 years,264248,2022
Canada,Females,42 years,260954,2022
Canada,Females,43 years,254570,2022
Canada,Females,44 years,248849,2022
Canada,Females,45 to 49 years,1215287,2022
Canada,Females,45 years,247643,2022
Canada,Females,46 years,246083,2022
Canada,Females,47 years,244357,2022
Canada,Females,48 years,239390,2022
Canada,Females,49 years,237814,2022
Canada,Females,50 to 54 years,1221277,2022
Canada,Females,50 years,240115,2022
Canada,Females,51 years,247992,2022
Canada,Females,52 years,247022,2022
Canada,Females,53 years,244344,2022
Canada,Females,54 years,241804,2022
Canada,Females,55 to 59 years,1326710,2022
Canada,Females,55 years,243405,2022
Canada,Females,56 years,254925,2022
Canada,Females,57 years,270891,2022
Canada,Females,58 years,277984,2022
Canada,Females,59 years,279505,2022
Canada,Females,60 to 64 years,1340258,2022
Canada,Females,60 years,272849,2022
Canada,Females,61 years,274245,2022
Canada,Females,62 years,270033,2022
Canada,Females,63 years,263801,2022
Canada,Females,64 years,259330,2022
Canada,Females,65 to 69 years,1189864,2022
Canada,Females,65 years,253272,2022
Canada,Females,66 years,245082,2022
Canada,Females,67 years,241279,2022
Canada,Females,68 years,231169,2022
Canada,Females,69 years,219062,2022
Canada,Females,70 to 74 years,982356,2022
Canada,Females,70 years,208782,2022
Canada,Females,71 years,201755,2022
Canada,Females,72 years,195539,2022
Canada,Females,73 years,189610,2022
Canada,Females,74 years,186670,2022
Canada,Females,75 to 79 years,734394,2022
