ref_date,geo,age,gender,statistics,religion_name,total_followers,year,month
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,sikh_22,44745,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,traditional_north_american_indigenous_spirituality_23,2985,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,other_religions_and_spiritual_traditions_24,8610,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,no_religion_and_secular_perspectives_25,426825,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,total_religion_1,4898625,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,buddhist_2,43060,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,christian_3,1828015,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,christian_n_o_s_4,390715,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,anabaptist_5,14540,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,anglican_6,65435,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,baptist_7,33085,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,catholic_8,1026445,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,christian_orthodox_9,63640,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,jehovahs_witness_10,11720,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,latter_day_saints_11,8700,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,lutheran_12,20250,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,methodist_and_wesleyan_holiness_13,6730,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,pentecostal_and_other_charismatic_14,38975,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,presbyterian_15,18740,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,reformed_16,8090,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,united_church_17,54990,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,other_christian_and_christian_related_traditions_18,65960,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,hindu_19,186360,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,jewish_20,37335,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,muslim_21,277660,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,sikh_22,156165,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,traditional_north_american_indigenous_spirituality_23,11595,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,other_religions_and_spiritual_traditions_24,44560,2021,1
2021-01-01,Canada,25 to 34 years,Total - Gender,2021 Counts,no_religion_and_secular_perspectives_25,2313880,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,total_religion_1,2453265,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,buddhist_2,18845,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,christian_3,877700,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,christian_n_o_s_4,182415,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,anabaptist_5,7055,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,anglican_6,31995,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,baptist_7,16180,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,catholic_8,500115,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,christian_orthodox_9,30020,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,jehovahs_witness_10,5125,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,latter_day_saints_11,4165,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,lutheran_12,9585,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,methodist_and_wesleyan_holiness_13,3305,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,pentecostal_and_other_charismatic_14,17625,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,presbyterian_15,8985,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,reformed_16,3875,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,united_church_17,26285,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,other_christian_and_christian_related_traditions_18,30960,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,hindu_19,97545,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,jewish_20,18315,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,muslim_21,135105,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,sikh_22,80525,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,traditional_north_american_indigenous_spirituality_23,5410,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,other_religions_and_spiritual_traditions_24,18580,2021,1
2021-01-01,Canada,25 to 34 years,Men+,2021 Counts,no_religion_and_secular_perspectives_25,1201250,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,total_religion_1,2445355,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,buddhist_2,24215,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,christian_3,950315,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,christian_n_o_s_4,208300,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,anabaptist_5,7485,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,anglican_6,33435,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,baptist_7,16910,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,catholic_8,526330,2021,1
2021-01-01,Canada,25 to 34 years,Women+,2021 Counts,christian_orthodox_9,33620,2021,1
