REF_DATE,DESC,VALUE,YEAR
2021-10-30,Domestic movements,43795,2021
2021-10-30,Transborder movements,4880,2021
2021-10-30,Other international movements,1985,2021
2021-11-06,Domestic movements,40742,2021
2021-11-06,Transborder movements,5070,2021
2021-11-06,Other international movements,2146,2021
2021-11-13,Domestic movements,35234,2021
2021-11-13,Transborder movements,5058,2021
2021-11-13,Other international movements,2178,2021
2021-11-20,Domestic movements,39020,2021
2021-11-20,Transborder movements,4465,2021
2021-11-20,Other international movements,2195,2021
2021-11-27,Domestic movements,36086,2021
2021-11-27,Transborder movements,5064,2021
2021-11-27,Other international movements,2208,2021
2021-12-04,Domestic movements,35079,2021
2021-12-04,Transborder movements,5144,2021
2021-12-04,Other international movements,2353,2021
2021-12-11,Domestic movements,35119,2021
2021-12-11,Transborder movements,5153,2021
2021-12-11,Other international movements,2691,2021
2021-12-18,Domestic movements,33028,2021
2021-12-18,Transborder movements,5336,2021
2021-12-18,Other international movements,3054,2021
2021-12-25,Domestic movements,21935,2021
2021-12-25,Transborder movements,4619,2021
2021-12-25,Other international movements,2861,2021
2022-01-01,Domestic movements,22833,2022
2022-01-01,Transborder movements,4443,2022
2022-01-01,Other international movements,2847,2022
2022-01-08,Domestic movements,27717,2022
2022-01-08,Transborder movements,4415,2022
2022-01-08,Other international movements,2648,2022
2022-01-15,Domestic movements,28758,2022
2022-01-15,Transborder movements,3899,2022
2022-01-15,Other international movements,2360,2022
2022-01-22,Domestic movements,30623,2022
2022-01-22,Transborder movements,4104,2022
2022-01-22,Other international movements,2171,2022
2022-01-29,Domestic movements,30568,2022
2022-01-29,Transborder movements,3901,2022
2022-01-29,Other international movements,2171,2022
2022-02-05,Domestic movements,31253,2022
2022-02-05,Transborder movements,4319,2022
2022-02-05,Other international movements,2120,2022
2022-02-12,Domestic movements,33006,2022
2022-02-12,Transborder movements,4484,2022
2022-02-12,Other international movements,2233,2022
2022-02-19,Domestic movements,32278,2022
2022-02-19,Transborder movements,4742,2022
2022-02-19,Other international movements,2376,2022
